Timestamp,Cell_ID,RSRP,SINR,Latency,Throughput,Packet_Loss,Connected_Users,QoS_Label,KPI_Label,Prediction_Error,Anomaly,Observation,Possible_Root_Cause,Recommended_Action
2026-01-01 00:10:00,CELL_005,-91.63,25.93,21.5,230.43,0.14,101,Fair,Warning,2.1091177,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 00:45:00,CELL_003,-89.63,28.58,25.05,226.37,0.55,111,Fair,Warning,19.237085,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 00:50:00,CELL_006,-94.43,24.45,29.09,206.62,0.41,140,Fair,Warning,2.1431544,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 00:55:00,CELL_001,-92.49,28.02,25.76,206.57,0.3,140,Fair,Warning,9.117307,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 00:55:00,CELL_002,-92.29,26.16,18.55,231.82,0.27,89,Fair,Warning,1.7599386,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 01:20:00,CELL_001,-93.13,27.75,23.59,216.55,0.6,137,Fair,Warning,1.9517189,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 01:20:00,CELL_003,-96.21,25.58,24.46,212.97,0.44,137,Fair,Warning,1.7111969,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 01:30:00,CELL_004,-91.23,25.99,27.31,194.66,0.53,164,Fair,Warning,5.570209,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 01:30:00,CELL_002,-87.07,29.88,19.63,238.81,0.23,83,Good,Normal,2.2938435,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 01:50:00,CELL_001,-93.78,24.57,26.43,207.72,0.46,151,Fair,Warning,3.1177132,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 01:55:00,CELL_001,-94.45,26.48,30.21,190.66,0.68,150,Fair,Warning,1.9156618,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 02:20:00,CELL_004,-93.61,25.68,32.83,195.14,0.69,164,Fair,Warning,2.1888316,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 02:20:00,CELL_003,-91.84,25.87,28.18,194.99,0.7,142,Fair,Warning,22.20791,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 02:50:00,CELL_005,-90.69,27.84,22.24,217.24,0.39,110,Fair,Warning,5.8418903,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 02:50:00,CELL_010,-92.64,24.27,26.65,202.61,0.33,133,Fair,Warning,2.4148579,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 02:50:00,CELL_008,-90.2,27.53,28.5,209.27,0.57,149,Fair,Warning,2.3145206,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 02:55:00,CELL_004,-92.39,25.42,30.43,207.46,0.64,153,Fair,Warning,2.341637,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 03:20:00,CELL_008,-87.86,23.58,22.7,189.45,0.38,143,Fair,Warning,1.7190852,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 03:25:00,CELL_005,-89.18,29.11,21.77,234.65,0.39,106,Fair,Warning,1.7636524,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 03:25:00,CELL_009,-91.68,24.45,27.36,198.56,0.34,154,Fair,Warning,7.0536194,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 03:35:00,CELL_010,-92.71,26.63,26.71,209.26,0.41,150,Fair,Warning,2.0424035,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 03:35:00,CELL_006,-97.56,27.34,26.88,216.77,0.6,132,Fair,Warning,1.6975269,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 03:45:00,CELL_002,-90.92,25.04,21.51,228.9,0.35,94,Fair,Warning,1.7397271,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 03:55:00,CELL_003,-94.26,25.28,25.83,202.96,0.48,126,Fair,Warning,1.697381,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 04:00:00,CELL_007,-94.96,24.39,24.32,205.17,0.49,122,Fair,Warning,1.7606474,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 04:20:00,CELL_002,-88.18,29.16,18.99,233.9,0.02,107,Good,Normal,7.5669503,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 04:20:00,CELL_004,-94.55,23.49,28.44,197.3,0.35,156,Fair,Warning,2.0921228,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 04:25:00,CELL_005,-89.74,27.28,24.27,220.84,0.19,106,Fair,Warning,2.9949515,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 04:30:00,CELL_008,-94.92,21.5,30.73,183.06,0.43,160,Fair,Warning,1.7349758,True,No abnormal KPI,Unknown,Further investigation required
2026-01-01 04:40:00,CELL_004,-96.06,25.83,32.91,188.13,0.86,184,Fair,Warning,2.548566,True,High Connected Users,Cell overload,Deploy small cells or rebalance users
