Timestamp,Cell_ID,RSRP,SINR,Latency,Throughput,Packet_Loss,Connected_Users,QoS_Label,KPI_Label,Anomaly
2026-01-01 00:10:00,CELL_002,-84.91,28.89,17.99,252.09,0.28,79,Good,Normal,1.0
2026-01-01 00:10:00,CELL_003,-87.97,24.16,19.02,208.31,0.07,105,Good,Normal,1.0
2026-01-01 00:30:00,CELL_002,-91.2,27.93,19.57,234.78,0.1,88,Fair,Warning,1.0
2026-01-01 00:35:00,CELL_005,-93.1,27.46,18.77,236.24,0.04,95,Fair,Warning,1.0
2026-01-01 00:40:00,CELL_002,-87.96,28.03,20.93,243.53,0.0,110,Fair,Warning,1.0
2026-01-01 01:00:00,CELL_002,-86.55,24.31,20.68,226.69,0.1,92,Fair,Warning,1.0
2026-01-01 01:05:00,CELL_001,-93.38,25.39,23.15,152.85,4.33,134,Poor,Critical,1.0
2026-01-01 01:15:00,CELL_005,-90.48,28.83,22.7,245.32,0.13,88,Fair,Warning,1.0
2026-01-01 01:20:00,CELL_002,-86.93,25.68,16.78,234.18,0.16,77,Good,Normal,1.0
2026-01-01 01:25:00,CELL_002,-89.62,27.49,17.68,228.15,0.08,89,Good,Normal,1.0
2026-01-01 01:30:00,CELL_002,-87.07,29.88,19.63,238.81,0.23,83,Good,Normal,1.0
2026-01-01 01:35:00,CELL_002,-87.74,28.18,17.96,229.94,0.02,86,Good,Normal,1.0
2026-01-01 01:35:00,CELL_008,-89.59,26.6,26.37,144.08,4.29,131,Poor,Critical,1.0
2026-01-01 02:00:00,CELL_002,-86.99,29.62,18.98,218.74,0.13,94,Good,Normal,1.0
2026-01-01 02:05:00,CELL_010,-92.71,24.47,29.01,149.24,4.48,156,Poor,Critical,1.0
2026-01-01 02:10:00,CELL_002,-85.93,28.95,18.64,251.75,0.0,80,Good,Normal,1.0
2026-01-01 02:20:00,CELL_002,-88.9,29.61,19.17,227.64,0.06,106,Good,Normal,1.0
2026-01-01 02:25:00,CELL_002,-88.07,28.15,19.33,242.56,0.0,83,Good,Normal,1.0
2026-01-01 02:30:00,CELL_002,-94.05,29.32,21.52,254.55,0.12,101,Fair,Warning,1.0
2026-01-01 02:50:00,CELL_007,-94.46,30.39,23.73,241.52,0.18,114,Fair,Warning,1.0
2026-01-01 02:55:00,CELL_002,-88.1,24.73,15.58,238.78,0.28,84,Good,Normal,1.0
2026-01-01 03:05:00,CELL_002,-87.72,27.96,21.62,241.43,0.69,81,Fair,Warning,1.0
2026-01-01 03:25:00,CELL_002,-91.14,29.11,21.78,244.51,0.09,85,Fair,Warning,1.0
2026-01-01 04:00:00,CELL_002,-87.68,30.55,20.14,242.06,0.05,79,Fair,Warning,1.0
2026-01-01 04:10:00,CELL_002,-91.78,27.16,18.53,232.11,0.07,85,Fair,Warning,1.0
2026-01-01 04:20:00,CELL_005,-88.35,27.08,18.0,224.95,0.2,85,Good,Normal,1.0
2026-01-01 04:20:00,CELL_002,-88.18,29.16,18.99,233.9,0.02,107,Good,Normal,1.0
2026-01-01 04:30:00,CELL_002,-87.75,26.35,19.19,228.27,0.03,112,Good,Normal,1.0
2026-01-01 04:40:00,CELL_002,-88.55,28.37,19.38,233.9,0.4,85,Good,Normal,1.0
